Date	Price	Open	High	Low	Vol.	Change %	MA7	MA21	EMA	High-Low	Price-Open
2020-06-15	9425.4	9345.5	9489.7	8925.6	750900.0	0.86	9519.914285714285	9563.1	9526.65314702829	564.1000000000004	79.89999999999964
2020-06-16	9523.5	9425.6	9577.1	9379.3	545470.0	1.04	9484.871428571429	9595.528571428571	9526.232727424518	197.8000000000011	97.89999999999964
2020-06-17	9464.6	9523.6	9543.6	9258.2	446450.0	-0.62	9425.699999999999	9608.17142857143	9518.015030434583	285.39999999999964	-59.0
2020-06-18	9388.1	9464.6	9480.4	9289.3	391670.0	-0.81	9440.685714285715	9599.404761904761	9500.693026376639	191.10000000000036	-76.5
2020-06-19	9314.0	9390.3	9424.0	9249.6	478490.0	-0.79	9418.885714285714	9594.128571428571	9475.800622859753	174.39999999999964	-76.29999999999927
2020-06-20	9358.8	9314.0	9394.5	9199.8	383440.0	0.48	9402.814285714285	9578.238095238095	9460.200539811787	194.70000000000073	44.79999999999927
2020-06-21	9296.4	9358.8	9411.2	9288.5	335990.0	-0.67	9395.82857142857	9570.695238095237	9438.360467836883	122.70000000000073	-62.399999999999636
2020-06-22	9683.7	9296.5	9751.9	9285.8	523320.0	4.17	9432.728571428572	9546.619047619048	9471.072405458632	466.10000000000036	387.2000000000007
2020-06-23	9624.6	9683.9	9715.6	9581.8	375490.0	-0.61	9447.171428571428	9551.238095238095	9491.542751397481	133.8000000000011	-59.29999999999927
2020-06-24	9302.0	9624.6	9667.4	9223.0	515780.0	-3.35	9423.942857142856	9533.84761904762	9466.270384544483	444.39999999999964	-322.60000000000036
2020-06-25	9247.5	9300.8	9327.3	9022.6	524450.0	-0.59	9403.857142857143	9507.804761904761	9437.100999938551	304.6999999999989	-53.29999999999927
2020-06-26	9160.0	9247.5	9296.5	9060.1	489840.0	-0.95	9381.857142857143	9485.366666666667	9400.154199946744	236.39999999999964	-87.5
2020-06-27	9008.3	9160.5	9190.5	8865.3	441930.0	-1.66	9331.785714285714	9453.87619047619	9347.90697328718	325.2000000000007	-152.20000000000073
2020-06-28	9124.0	9008.4	9185.5	8950.2	329010.0	1.28	9307.157142857142	9424.419047619047	9318.052710182223	235.29999999999927	115.60000000000036
2020-06-29	9185.4	9122.8	9229.1	9033.6	401120.0	0.67	9235.971428571427	9396.20476190476	9300.365682157926	195.5	62.600000000000364
2020-06-30	9135.4	9186.0	9199.8	9075.3	381730.0	-0.54	9166.085714285715	9366.042857142858	9278.370257870203	124.5	-50.600000000000364
